route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,000153,OCESN453821R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1820:20260403,453821,1,8852,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002586,OCESN453821R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1745:20260524,453821,1,8853,
OCESN-87581009-87582775,000206,OCESN453823R1187_R:CTE:OCESN-87581009-87582775:87581009:87582775:2:1850:20260314,453823,1,8854,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002595,OCESN453823R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1850:20260524,453823,1,8855,
OCESN-87582775-87581009,000206,OCESN453824R1187_R:CTE:OCESN-87582775-87581009:87582775:87581009:2:1740:20260314,453824,0,8856,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002593,OCESN453824R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:1740:20260524,453824,0,8857,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002596,OCESN453825R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1950:20260524,453825,1,8858,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002596,OCESN453826R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:1850:20260524,453826,0,8859,
OCESN-87581009-87582775,000206,OCESN453827R1187_R:CTE:OCESN-87581009-87582775:87581009:87582775:2:2110:20260314,453827,1,8860,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002597,OCESN453827R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:2110:20260523,453827,1,8861,
OCESN-87582775-87581009,000206,OCESN453828R1187_R:CTE:OCESN-87582775-87581009:87582775:87581009:2:1945:20260314,453828,0,8862,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002597,OCESN453828R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:1945:20260523,453828,0,8863,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002596,OCESN453829R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:2155:20260524,453829,1,8864,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002596,OCESN453830R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:2055:20260524,453830,0,8865,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002598,OCESN453832R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:2210:20260516,453832,0,8866,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002599,OCESN453832R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:2235:20260524,453832,0,8867,
