id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87182113;Bartenheim;BTK;47.6349313; 7.4872561;68021;BARTENHEIM
87726778;Bas - Monistrol-sur-Loire;BMO;45.297596; 4.139602;43020;BAS-EN-BASSET
87184200;Bas Évette;BEV;47.6810089; 6.8068494;90042;EVETTE-SALBERT
87699223;Base Aérienne;BAE;47.320184; 1.681869;41194;ROMORANTIN-LANTHENAY
87191601;Basse-Ham;BHD;49.3805708; 6.2348709;57287;BASSE-HAM
87581850;Bassens;BAS;44.9012933; -0.5223144;33032;BASSENS
87481770;Batz-sur-Mer;BSK;47.2809541; -2.4789866;44010;BATZ-SUR-MER
87574152;Baule;BLJ;47.8117535; 1.668127;45024;BAULE
87718460;Baume-les-Dames;BDA;47.353937; 6.359603;25047;BAUME-LES-DAMES
87345280;Bauvin - Provin;BVP;50.51168; 2.9054;59052;BAUVIN
87444067;Bayeux;BAY;49.269836; -0.698056;14047;BAYEUX
87141218;Bayon;BYN;48.468046; 6.322569;54585;VIRECOURT
87673004;Bayonne;BYE;43.496801; -1.470306;64102;BAYONNE
87171462;Bazancourt;BZT;49.361202; 4.173887;51043;BAZANCOURT
87611723;Baziège;BAZ;43.4535696; 1.6205019;31048;BAZIEGE
87696468;Béard;BVE;46.8652207; 3.3179944;58025;BEARD
87317610;Beau Marais;BMQ;50.945371; 1.8983301;62193;CALAIS
87775023;Beaucaire;BCK;43.80209; 4.6470865;30032;BEAUCAIRE
87574160;Beaugency;BGY;47.778365; 1.625938;45028;BEAUGENCY
87756379;Beaulieu-sur-Mer;BUM;43.706651; 7.331545;6011;BEAULIEU-SUR-MER
87387183;Beaumont-le-Roger;BLR;49.0741722; 0.7727865;27051;BEAUMONT-LE-ROGER
87713545;Beaune;BEA;47.023053; 4.848379;21054;BEAUNE
87317198;Beaurainville;BIV;50.422891; 1.895345;62100;BEAURAINVILLE
87582700;Beautiran;BIR;44.701041; -0.45017;33037;BEAUTIRAN
87313510;Beauvais;BVS;49.42648; 2.08869;60057;BEAUVAIS
87485342;Beauvoir-sur-Niort;BVK;46.1768857; -0.4687544;79031;BEAUVOIR-SUR-NIORT
87775809;Beauvoisin;BVW;43.7245026; 4.3212178;30033;BEAUVOISIN
87382002;Bécon les Bruyères;BEC;48.90592; 2.26838;92026;COURBEVOIE
87781609;Bédarieux;BED;43.6086972; 3.1495688;34028;BEDARIEUX
87765198;Bédarrides;BDR;44.0407636; 4.8931321;84016;BEDARRIDES
87672774;Bedous;GGM;42.99589; -0.60348;64104;BEDOUS
87581801;Bègles;BGL;44.7995389; -0.5552495;33039;BEGLES
87491076;Beillant;BIL;45.7007999; -0.5265079;17400;SAINT-SEVER-DE-SAINTONGE
87184002;Belfort;BFT;47.633284; 6.853956;90010;BELFORT
87300822;Belfort - Montbéliard TGV;BFB;47.585937; 6.897687;90068;MEROUX
87592485;Bellac;BLL;46.1252044; 1.0461168;87011;BELLAC
87473165;Belle-Isle - Bégard;BIB;48.5935901; -3.3228532;22135;LOUARGAT
87745000;Bellegarde-sur-Valserine;BGD;46.109425; 5.823483;1033;BELLEGARDE-SUR-VALSERINE
87641068;Bellenaves;BLE;46.199256; 3.0665239;3022;BELLENAVES
87486142;Bellevigny;BVD;46.788316; -1.4346673;85019;BELLEVILLE-SUR-VIE
87141804;Belleville;BEE;48.8195721; 6.1018641;54060;BELLEVILLE
87721357;Belleville sur Sâone;BVL;46.111917; 4.729028;69019;BELLEVILLE
87393116;Bellevue;BLU;48.8190033; 2.2296743;92048;MEUDON
87743526;Bellignat;BNI;46.2381265; 5.6298849;1031;BELLIGNAT
87276550;Belloy - Saint-Martin;BSW;49.09807; 2.36135;95056;BELLOY-EN-FRANCE
87595876;Belvès;BES;44.7773978; 1.0118831;24035;BELVES
87783670;Belvezet;BVZ;44.5617971; 3.7518919;48023;BELVEZET
87476408;Belz - Ploemel;BZP;47.652466; -3.0721919;56161;PLOEMEL
87673285;Bénesse-Maremne;BMX;43.6277484; -1.3698505;40036;BENESSE-MAREMNE
87192302;Bénestroff;BEN;48.90656; 6.75266;57060;BENESTROFF
87214122;Benfeld;BFD;48.3735367; 7.584125;67028;BENFELD
87576447;Bengy-sur-Craon;BNH;47.0004698; 2.7492361;18027;BENGY-SUR-CRAON
87193250;Béning-lès-Saint-Avold;BNG;49.1379541; 6.8282982;57061;BENING-LES-SAINT-AVOLD
87584268;Bergerac;BGC;44.857061; 0.489174;24037;BERGERAC
87281105;Bergues;BEG;50.96901; 2.42574;59067;BERGUES
87295808;Berlaimont;BER;50.1980095; 3.8105316;59068;BERLAIMONT
87444299;Bernay;BEY;49.087102; 0.595634;27056;BERNAY
87592352;Bersac-sur-Rivalier;BHA;46.0837459; 1.4321682;87013;BERSAC-SUR-RIVALIER
87215335;Berthelming;BHN;48.8096475; 7.0087859;57066;BERTHELMING
87141424;Bertrichamps;BHZ;48.4283359; 6.7912343;54065;BERTRICHAMPS
87345553;Bertry;BTD;50.0911265; 3.4489955;59074;BERTRY
